YearsFromRegistration,powerPS,kilometer,abtest_test,vehicleType_cabrio,vehicleType_coupe,vehicleType_limousine,vehicleType_others,vehicleType_small car,vehicleType_station wagon,vehicleType_suv,fuelType_diesel,fuelType_electro,fuelType_hybrid,fuelType_lpg,fuelType_other,fuelType_petrol,gearbox_manual,notRepairedDamage_yes,brand_encoded,monthOfRegistration_Q2,monthOfRegistration_Q3,monthOfRegistration_Q4,price
15,177,150000,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,14999
24,122,150000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,10,0,1,0,750
12,116,40000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,1,15900
6,101,150000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,38,1,0,0,1650
12,160,40000,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,24,0,0,1,7500
24,75,150000,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,27,0,0,0,600
9,310,40000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,41900
24,184,150000,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,5900
17,86,150000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,27,1,0,0,2500
19,101,150000,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,38,0,0,1,1750
19,180,150000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,7500
8,86,20000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,38,0,0,0,15600
11,111,70000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,25,0,0,0,11300
18,218,150000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,8500
22,80,150000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,9,0,1,0,1050
25,75,150000,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,27,0,0,0,850
24,50,150000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,27,1,0,0,1000
17,110,100000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25,1,0,0,4500
27,125,150000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1290
25,125,150000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,38,1,0,0,1999
17,160,150000,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,30,1,0,0,5600
19,101,150000,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,24,0,1,0,2699
25,110,150000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,38,1,0,0,850
17,150,150000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,38,0,0,1,3999
18,224,150000,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,11500
23,65,150000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,24,1,0,0,550
13,110,80000,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,26999
